"","schoolprogram","cutoff","quality","size","schoolname","sssdistrict","ssslong","ssslat"
"13","100101,General Arts",198,244.192307692308,78,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"16","100101,Home Economics",199,228.974358974359,39,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"27","100101,Technical",201,235.102040816327,49,"WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"33","100102,Agriculture",273,292.781609195402,87,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"36","100102,Business",283,303.129411764706,85,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"43","100102,General Arts",291,310.470588235294,85,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"44","100102,General Science",273,298.584269662921,89,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"46","100102,Home Economics",262,279,44,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"59","100102,Visual Arts",250,273.071428571429,42,"WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"76","100104,General Arts",319,335.906976744186,43,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"77","100104,General Science",313,333.75,44,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"79","100104,Home Economics",282,309.355555555556,45,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255
"99","100105,Business",251,267.618421052632,76,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"106","100105,General Arts",258,274.818181818182,77,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"109","100105,Home Economics",242,257.73417721519,79,"ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"126","100106,Agriculture",223,240.625,40,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"129","100106,Business",238,253.538461538462,39,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"136","100106,General Arts",248,268.975,40,"T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255
"159","100201,Business",288,314.578947368421,76,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"166","100201,General Arts",319,339,39,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"167","100201,General Science",334,356.282051282051,78,"NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418
"189","100202,Business",230,261.484848484848,198,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"196","100202,General Arts",252,274.468619246862,239,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"197","100202,General Science",265,286.95,100,"LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418
"216","100203,Agriculture",225,242.54,50,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"229","100203,Home Economics",201,227.222222222222,36,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"240","100203,Technical",200,223.1875,16,"EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418
"249","100204,Business",204,224.935483870968,31,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"256","100204,General Arts",194,228.923076923077,39,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"259","100204,Home Economics",202,230.705882352941,17,"KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418
"276","100301,Agriculture",201,224.352941176471,51,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"286","100301,General Arts",197,233.470588235294,34,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"289","100301,Home Economics",195,223.3125,16,"ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"309","100302,Business",264,295.787234042553,47,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"316","100302,General Arts",294,320.011904761905,84,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"317","100302,General Science",285,318.139534883721,43,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"319","100302,Home Economics",263,294.64,50,"ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"336","100303,Agriculture",207,231.288888888889,45,"PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"349","100303,Home Economics",201,230.190476190476,21,"PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"369","100304,Business",225,247.530612244898,49,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"379","100304,Home Economics",227,241.38,50,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"392","100304,Visual Arts",195,236.805555555556,36,"JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745
"399","100401,Business",259,280.871794871795,39,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"406","100401,General Arts",251,269.888888888889,117,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"407","100401,General Science",228,261.831168831169,77,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"409","100401,Home Economics",245,259.794871794872,39,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"422","100401,Visual Arts",206,240.921052631579,38,"KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"426","100402,Agriculture",225,240.62,50,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"439","100402,Home Economics",201,223.813953488372,43,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"450","100402,Technical",209,232.214285714286,14,"TUMU SENIOR HIGH./TECH. SCH","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044
"456","100501,Agriculture",235,253.340909090909,88,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"469","100501,Home Economics",224,241.729411764706,85,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"480","100501,Technical",207,233.704545454545,44,"KALEO SENIOR HIGH/TECHNICAL SCHOOL, KALEO","Nadowli",-2.42762446403503,10.362509727478
"486","100502,Agriculture",191,234.476744186047,86,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"496","100502,General Arts",198,233.155555555556,90,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"499","100502,Home Economics",209,227.755555555556,45,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH","Nadowli",-2.42762446403503,10.362509727478
"519","100503,Business",262,278.65,80,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
"526","100503,General Arts",273,288.461538461538,78,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
"527","100503,General Science",276,276,1,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI","Nadowli",-2.42762446403503,10.362509727478
